Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,TIPODOCUMENTO,TipoDeDocumento
0,"B Borsoi, N Sandi, VL Lúcion",Mecanismo de Busca em um Repositório de Artefatos de Software usando Algoritmos Genéticos,2016.0,Anais do Computer on the …,periodicos.univali.br,https://periodicos.univali.br/index.php/acotb/article/view/10718,,21,2024-04-25 13:44:42,,,,,,,,,0,0.0,0,3,8.0,"… , para o repositório e para o mecanismo de busca, se destina à indústria de software no … mecanismo de busca em repositório de artefatos de software utilizando algoritmos genéticos e …",https://periodicos.univali.br/index.php/acotb/article/download/10718/6050,"https://scholar.google.com/scholar?q=related:Y-9eLS-A6l0J:scholar.google.com/&scioq=intitle:reposit%C3%B3rio+software&hl=en&as_sdt=0,5&as_ylo=2004&as_yhi=2024&as_vis=1",Artigo de periódico,Tipo Desconhecido
0,BE Follmann,Busca em repositório de artefatos de software utilizando raciocínio baseado em casos,2017.0,,repositorio.utfpr.edu.br,http://repositorio.utfpr.edu.br/jspui/handle/1/14650,,22,2024-04-25 13:44:42,,,,,,,,,0,0.0,0,1,7.0,"… software por meio do reuso de artefatos, este trabalho apresenta um mecanismo para realizar buscas em um repositório de artefatos de software … atua em um repositório anteriormente …",http://repositorio.utfpr.edu.br/jspui/bitstream/1/14650/1/PB_COENC_2017_1_01.pdf,"https://scholar.google.com/scholar?q=related:OmuX36sr8a0J:scholar.google.com/&scioq=intitle:reposit%C3%B3rio+software&hl=en&as_sdt=0,5&as_ylo=2004&as_yhi=2024&as_vis=1",BACHELORTHESIS,Trabalho de conclusão de curso
0,"P Pordeus, C Bezerra, E Coutinho",ReqStore: Um Repositório de Requisitos de Projetos de Software como Apoio a Metodologia PBL,2015.0,Anais do XI Simpósio Brasileiro …,sol.sbc.org.br,https://sol.sbc.org.br/index.php/sbsi/article/view/5866,,23,2024-04-25 13:44:42,,,,,,,,,0,0.0,0,3,9.0,"… [9], a ferramenta consiste em um repositório de projetos de software como apoio ao ensino. … de um repositório de projetos de software como auxílio à aplicação da metodologia PBL. …",https://sol.sbc.org.br/index.php/sbsi/article/download/5866/5764/,"https://scholar.google.com/scholar?q=related:9npTXYUbc84J:scholar.google.com/&scioq=intitle:reposit%C3%B3rio+software&hl=en&as_sdt=0,5&as_ylo=2004&as_yhi=2024&as_vis=1",,Tipo Desconhecido
0,MHD Moura,Comparação entre desenvolvedores de software a partir de dados obtidos em repositório de controle de versão,2013.0,,bdtd.ibict.br,https://bdtd.ibict.br/vufind/Record/UFG-2_2f227c76b8d6f7c34500c7873bbcd29f/Description,,24,2024-04-25 13:44:42,,,,,,,,,0,0.0,0,1,11.0,… code changes done by software developers. Research that … that summarizes changes made to software in line and file levels… two case studies of real software development projects. The …,,"https://scholar.google.com/scholar?q=related:ULr57ll7bMYJ:scholar.google.com/&scioq=intitle:reposit%C3%B3rio+software&hl=en&as_sdt=0,5&as_ylo=2004&as_yhi=2024&as_vis=1",,Tipo Desconhecido
0,"LO Ferreira, M Schuenck…",CompWeb: Um Repositório de Componentes de Software Acessível por Web Services REST,2009.0,… de Computação e …,ulbra-to.br,http://ulbra-to.br/encoinfo/wp-content/uploads/2020/03/CompWeb-Um-reposit%C3%B3rio-de-componentes-de-Software-Acess%C3%ADvel-por-Web-Services-REST.pdf,,25,2024-04-25 13:44:42,PDF,,,,,,,,0,0.0,0,3,15.0,"… Dentro dessa perspectiva, um repositório de componentes surge com o … repositório será considerado, para o propósito desse trabalho, uma ferramenta onde componentes de software …",http://ulbra-to.br/encoinfo/wp-content/uploads/2020/03/CompWeb-Um-reposit%C3%B3rio-de-componentes-de-Software-Acess%C3%ADvel-por-Web-Services-REST.pdf,"https://scholar.google.com/scholar?q=related:RR-c6k9QTZIJ:scholar.google.com/&scioq=intitle:reposit%C3%B3rio+software&hl=en&as_sdt=0,5&as_ylo=2004&as_yhi=2024&as_vis=1",,Tipo Desconhecido
0,"RPM de Sousa, BD Vechi, M Shintaku",Proteção de Software Livre e Políticas Institucionais: o caso do Repositório de Códigos e Sistemas para CT&I (REDE MOARA),2023.0,Anais do Workshop de …,labcotec.ibict.br,https://labcotec.ibict.br/widat/index.php/widat2023/article/view/39,,26,2024-04-25 13:44:42,,,,,,,,,0,0.0,0,3,1.0,"… Nesse sentido, os softwares de código aberto têm sido utilizados em … de software livre. Objetivos: A presente pesquisa visa analisar a política institucional de proteção de software livre …",https://labcotec.ibict.br/widat/index.php/widat2023/article/download/39/20,"https://scholar.google.com/scholar?q=related:ZoA3G2RgL8QJ:scholar.google.com/&scioq=intitle:reposit%C3%B3rio+software&hl=en&as_sdt=0,5&as_ylo=2004&as_yhi=2024&as_vis=1",,Tipo Desconhecido
0,CLG da Gama,A EXPERIENCIA DE DESENVOLVER OBJETOS EDUCACIONAIS COM AUXÍLIO DO SOFTWARE GEOGEBRA E DISPONIBILIZÁ-LOS EM UM REPOSITÓRIO,,abed.org.br,,http://www.abed.org.br/congresso2018/anais/trabalhos/4943.pdf,,27,2024-04-25 13:44:42,PDF,,,,,,,,0,0.0,0,1,,"… objetos educacionais disponibilizados em um repositório, onde se tem … na internet através de um repositório. O trabalho está sendo … Trata-se de um repositório de objetos educacionais …",http://www.abed.org.br/congresso2018/anais/trabalhos/4943.pdf,"https://scholar.google.com/scholar?q=related:cVrpIg7P-_UJ:scholar.google.com/&scioq=intitle:reposit%C3%B3rio+software&hl=en&as_sdt=0,5&as_ylo=2004&as_yhi=2024&as_vis=1",,Tipo Desconhecido
0,WR Soares,Desenvolvimento de um repositório de medidas de teste de software aderente ao MPT. Br,2016.0,,repositorio.ufc.br,https://repositorio.ufc.br/handle/riufc/25055,,28,2024-04-25 13:44:42,,,,,,,,,0,0.0,0,1,8.0,"… estabelecer medidas de Teste de Software. Neste contexto, o … repositório genérico de medidas de Teste de Software que seja aderente ao MPT.Br. Para construção desse repositório, …",https://repositorio.ufc.br/bitstream/riufc/25055/1/2016_tcc_wrsoares.pdf,"https://scholar.google.com/scholar?q=related:VjIo3vMIP8YJ:scholar.google.com/&scioq=intitle:reposit%C3%B3rio+software&hl=en&as_sdt=0,5&as_ylo=2004&as_yhi=2024&as_vis=1",TCC,Trabalho de conclusão de curso
0,AS Borges,Um mecanismo de incentivo à contribuição para um repositório de experiência no desenvolvimento de software por equipes distribuidas: caso SEST/SENAT,2009.0,,bdtd.ucb.br,https://bdtd.ucb.br:8443/jspui/handle/123456789/1580,,29,2024-04-25 13:44:42,,,,,,,,,0,0.0,0,1,15.0,"… de incentivo à participação em um repositório de experiência que dê suporte a equipes de desenvolvimento de software geograficamente distribuídas, inspirado em trabalhos prévios …",https://bdtd.ucb.br:8443/jspui/bitstream/123456789/1580/1/Texto%20completo%20Renata%20Guizzardi%20-%202009.pdf,"https://scholar.google.com/scholar?q=related:HOZPs0w--KoJ:scholar.google.com/&scioq=intitle:reposit%C3%B3rio+software&hl=en&as_sdt=0,5&as_ylo=2004&as_yhi=2024&as_vis=1",,Tipo Desconhecido
0,RS PINHEIRO,Reposdn: um método de organização e coordenação de aplicações em repositório para redes definidas por software,2014.0,,repositorio.ufpa.br,http://repositorio.ufpa.br/handle/2011/9009,,30,2024-04-25 13:44:42,,,,,,,,,0,0.0,0,1,10.0,"… Entretanto, nao há uma forma de como gerenciá-las, esta dissertaçao propoe uma soluçao para este problema, um método de organizaçao e coordenaçao de repositório de …",https://repositorio.ufpa.br/bitstream/2011/9009/1/Dissertacao_ReposdnMetodoOrganizacao.pdf,"https://scholar.google.com/scholar?q=related:ZfSf_N1IcFIJ:scholar.google.com/&scioq=intitle:reposit%C3%B3rio+software&hl=en&as_sdt=0,5&as_ylo=2004&as_yhi=2024&as_vis=1",DISSERTAÇÃO,Dissertação de Mestrado
